Term,Category,WordBank,Lexical_Class
hers,pronouns,0.1,Function
him,pronouns,0.12,Function
his,pronouns,0.12,Function
I,pronouns,0.43,Function
it,pronouns,0.3,Function
me,pronouns,0.59,Function
mine,pronouns,0.71,Function
my,pronouns,0.45,Function
myself,pronouns,0.13,Function
our,pronouns,0.08,Function
she,pronouns,0.17,Function
that,pronouns,0.43,Function
their,pronouns,0.06,Function
them,pronouns,0.09,Function
these,pronouns,0.17,Function
they,pronouns,0.09,Function
this,pronouns,0.41,Function
those,pronouns,0.13,Function
us,pronouns,0.06,Function
we,pronouns,0.13,Function
you,pronouns,0.45,Function
your,pronouns,0.16,Function
yourself,pronouns,0.04,Function
how,question_words,0.13,Function
what,question_words,0.47,Function
when,question_words,0.07,Function
where,question_words,0.41,Function
which,question_words,0.06,Function
who,question_words,0.22,Function
why,question_words,0.25,Function
about,locations,0.06,Function
above,locations,0.07,Function
around,locations,0.13,Function
at,locations,0.19,Function
away,locations,0.29,Function
back,locations,0.34,Function
behind,locations,0.17,Function
beside,locations,0.1,Function
by,locations,0.16,Function
down,locations,0.67,Function
for,locations,0.15,Function
here,locations,0.41,Function
inside/in,locations,0.49,Function
into,locations,0.08,Function
next to,locations,0.1,Function
of,locations,0.09,Function
off,locations,0.6,Function
on,locations,0.59,Function
on top of,locations,0.18,Function
out,locations,0.53,Function
over,locations,0.24,Function
there,locations,0.39,Function
to,locations,0.23,Function
under,locations,0.29,Function
up,locations,0.69,Function
with,locations,0.22,Function
a,quantifiers,0.29,Function
all,quantifiers,0.32,Function
a lot,quantifiers,0.18,Function
an,quantifiers,0.04,Function
another,quantifiers,0.22,Function
any,quantifiers,0.12,Function
each,quantifiers,0.05,Function
every,quantifiers,0.08,Function
more,quantifiers,0.69,Function
much,quantifiers,0.14,Function
none,quantifiers,0.14,Function
not,quantifiers,0.23,Function
other,quantifiers,0.17,Function
same,quantifiers,0.16,Function
some,quantifiers,0.3,Function
the,quantifiers,0.25,Function
too,quantifiers,0.37,Function
am,helping_verbs,0.17,Verb
are,helping_verbs,0.14,Verb
be,helping_verbs,0.12,Verb
can,helping_verbs,0.22,Verb
could,helping_verbs,0.04,Verb
did/did ya,helping_verbs,0.2,Verb
do,helping_verbs,0.43,Verb
does,helping_verbs,0.09,Verb
don't,helping_verbs,0.33,Verb
gonna/going to,helping_verbs,0.24,Verb
gotta/got to,helping_verbs,0.12,Verb
hafta/have to,helping_verbs,0.15,Verb
is,helping_verbs,0.2,Verb
lemme/let me,helping_verbs,0.29,Verb
need/need to,helping_verbs,0.23,Verb
try/try to,helping_verbs,0.26,Verb
wanna/want to,helping_verbs,0.4,Verb
was,helping_verbs,0.09,Verb
were,helping_verbs,0.05,Verb
will,helping_verbs,0.09,Verb
would,helping_verbs,0.04,Verb
and,connecting_words,0.28,Function
because,connecting_words,0.1,Function
but,connecting_words,0.07,Function
if,connecting_words,0.04,Function
so,connecting_words,0.1,Function
then,connecting_words,0.07,Function
